DNP	J7	81.75	-113	270	DNP
MULTICOMP/2213S-08G	J4	97.265	-65.56999969482422	360	MULTICOMP/2213S-08G
MULTICOMP/2213S-08G	J3	97.265	-88.43000030517578	360	MULTICOMP/2213S-08G
